gaussian1;gaussian2;gaussian3
-0.244110283105609;?;-0.362509561705837
0.0836018615482542;[0.317800232463541:0.331237852601089];0.382920086916205
-0.327413500575689;0.525523974960423;-0.35873103098376
[-inf:-0.244586872316954];0.421924515405076;-0.291733251564699
-0.271439438900105;0.514557940650758;-0.225491121305933
?;0.483327994168277;-0.238648271904944
[-0.29643543608411:-0.260860377472588];0.500070992329156;-0.279971036317477
0.0457513667595999;0.34832467635993;0.388279063711748
-0.34080884468626;0.481057999456457;-0.322306609788832
-0.0821535454447133;0.300106926807852;[0.49192759043793:+inf]
-0.258765669464025;0.390073366582456;[-inf:-0.279624691649715]
[-0.25981052769579:+inf];0.452158362995434;-0.275417423904916
[-inf:-0.269967694690298];0.507501249312191;-0.12850022138797
-0.0400353334645449;[0.290263745216701:0.324433992386352];0.520869468473068
-0.316808926776146;0.433783274417911;-0.290068487661846
-0.320719113938121;0.485810304543447;-0.21979231674321
-0.266095621298446;0.461262392411227;-0.311165075759053
[-0.331380063007678:+inf];0.5602876452155;-0.181167534362682
[-0.294248464009538:+inf];0.453307040041331;-0.284466030078294
-0.07013945346961;[0.314753866292309:+inf];0.451564180535905
-0.327476689984624;[0.493864127968807:+inf];-0.284004213476889
-0.289691151149784;0.406891313266374;-0.275491423209526
[-0.315330718644564:-0.263302967017445];[-inf:0.521300943263705];-0.285402769315265
-0.169305357164604;0.366395798968819;0.45788402445956
-0.333367808128281;0.509727882939624;-0.294667714428722
-0.247856207093091;0.456176389411572;-0.315468718661476
-0.228092555931431;0.440186927023397;-0.298673938149605
-0.287759034644127;0.447835491120018;-0.301233836162689
-0.321058735031282;0.577979347612479;?
-0.337423285105792;[0.458572261930792:0.492344549628145];-0.142860727634413
-0.281306141464477;0.523966206469123;[-inf:-0.327994475528614]
0.0414622320402404;0.323760129024034;0.401195887931349
-0.259296240969411;0.487229081211378;-0.292259380872504
-0.226375744771698;0.538088097668981;?
-0.242148772615825;0.436276724533652;-0.203515856379827
?;0.453011697907716;-0.387798689635962
-0.138995716598966;[-inf:0.377653260286301];0.46225557278023
[-0.27046009854282:+inf];0.516952066496134;[-0.376140136477777:+inf]
?;0.541385236688441;-0.327645715521093
-0.305011390314306;0.56661263785253;-0.303813559793454
[-0.256870982464527:+inf];0.524662241274518;-0.270577430624453
[-inf:-0.304680380521145];0.506024624418736;-0.223385736589862
-0.365712701242107;0.514774816996385;[-0.289206118474938:+inf]
-0.262896970471832;?;-0.260028394467439
-0.319283911746767;0.464753094611511;-0.29764217248173
0.0388194032073549;?;0.46919251886462
-0.220964856309195;[0.409938834854422:0.430786986104159];-0.261972140482443
